Method,Watermark_Status,Task_ID,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,MAPE_Mean,MAPE_Std,SNR_Mean,SNR_Std,N_Trials
GREEN,WATERMARKED,4,24.345703125,4.122997838410433,27.61710289668353,14.311035703503677,40.125143474277124,8.284661349364,-7.064250491923557,0.34685994177763046,10
GREEN,WATERMARKED,5,36.650390625,9.93440140693373,48.271880490674455,32.73499060845986,64.71476309032604,20.688521838192585,-6.594224874458443,0.513137168368316,10
GREEN,WATERMARKED,6,36.474609375,8.417563727386579,45.154744159445535,27.809839956329558,61.59374994294687,16.525749304382575,-6.919788700216296,0.36518928115182236,10
DeepPhys,ORIGINAL,1,0.17578125,0.11117382399029457,0.3930588241698849,0.3125881775459044,0.21748135874067936,0.14783712965107135,7.775945241734443,0.5741139417494696,10
DeepPhys,ORIGINAL,2,8.984375,7.668071452268296,24.69641415903234,23.884995336240994,7.467580312407898,5.615805127269325,0.29591893624388504,1.5585285227319157,9
DeepPhys,ORIGINAL,3,9.404296875,7.601446701688973,25.812026640682756,25.02955669501017,8.708862297768672,5.982994985165478,-1.3717248322886368,1.486993738941359,10
DeepPhys,ORIGINAL,4,15.99609375,8.384507661126108,30.965702033921552,26.997374322673384,17.138987816365777,7.295598337330843,-3.2035029704112916,1.285411494263051,10
DeepPhys,ORIGINAL,5,0.17578125,0.16676073598544186,0.5558691199514729,0.5414186053548673,0.25316455696202533,0.24017298684823138,4.0581325318051835,1.241050101025554,10
DeepPhys,ORIGINAL,6,0.263671875,0.17796495174008717,0.6214805694022391,0.5423561302602881,0.38095238095238093,0.24508265480150832,3.4727000718622882,1.0069593969593298,10
DeepPhys,WATERMARKED,1,25.3125,5.474393711748403,30.66614617721478,20.66594022236565,39.123525941308614,6.638508120627982,-6.0230164927284475,0.6480150584665523,10
DeepPhys,WATERMARKED,2,23.4375,5.726021568073847,29.058601364009622,20.610285375489422,30.28548563239124,5.660891708236536,-7.172215247435176,0.9798456385799758,9
DeepPhys,WATERMARKED,3,17.0068359375,5.516860996330987,24.363702943793722,19.94845036793084,23.21406917786186,4.83996380888737,-6.419168901031807,0.7034096672580388,10
DeepPhys,WATERMARKED,4,18.5888671875,6.099397243361865,26.78754282568331,21.725565414040375,24.555729686690647,5.821380140430094,-6.6486838593707445,0.6698574401608778,10
DeepPhys,WATERMARKED,5,23.818359375,5.6775575025662475,29.827182824834686,21.796710190877832,32.99266302413061,5.158076099550428,-7.029886698004854,0.7695827870483755,10
DeepPhys,WATERMARKED,6,16.611328125,5.197376271546272,23.367999981956913,17.590237234228745,20.968082619245244,4.526491985296416,-6.543552643911004,0.9671775737681337,10
TSCAN,ORIGINAL,1,0.263671875,0.1273656159333056,0.4813967790572749,0.33457799670462773,0.4135597901132284,0.21892741329743642,6.886334158155478,0.5080129227432357,10
TSCAN,ORIGINAL,2,8.30078125,7.723011784550478,24.61111879982504,23.895086598282745,6.078691423519009,5.630162423510309,0.5617934951955845,1.3050855426981485,9
TSCAN,ORIGINAL,3,1.2744140625,0.6501827423264858,2.4189888769669134,2.0182206272636987,1.5591288637377503,0.6744260820248246,1.2561257340335834,1.2384641718816007,10
TSCAN,ORIGINAL,4,7.6904296875,6.277953578190375,21.2901319882596,20.556981251384013,6.7292573936612685,4.940483409766365,-1.8027904037119182,1.0998955740262626,10
TSCAN,ORIGINAL,5,0.791015625,0.5889327738662444,2.0233941386521885,1.8895045750260695,0.7935285053929122,0.5084804127227253,4.196272298760667,0.9269753774741551,10
TSCAN,ORIGINAL,6,0.3515625,0.18436093034240944,0.6807978538255225,0.5414186053548673,0.5533661740558292,0.27144628038211194,3.7014439781177315,0.7877513802308572,10
TSCAN,WATERMARKED,1,18.017578125,4.049173652269726,22.104099035084694,14.167391488702286,25.380620270042236,3.5652896450061413,-6.4909975906264865,0.6571490681908199,10
TSCAN,WATERMARKED,2,19.43359375,4.724876306205378,24.05378704113986,14.719868779516482,23.875323762592195,4.544316774732818,-7.197045388812545,0.726779351687731,9
TSCAN,WATERMARKED,3,18.544921875,4.850256702669159,24.06582697867922,16.891183824365495,25.215607382707226,5.0961578536491405,-6.469340731162234,0.6993591317737188,10
TSCAN,WATERMARKED,4,15.0732421875,6.495899117238437,25.478808517205447,22.5383187276894,19.264805202516023,5.675222403284759,-6.559512977184774,0.6140111798238131,10
TSCAN,WATERMARKED,5,20.126953125,6.310338773988673,28.34251217731054,20.211818313600947,27.14421590776366,8.250223956480538,-6.964125859787242,0.8054506773111363,10
TSCAN,WATERMARKED,6,19.599609375,5.8194612226140645,26.885051178446282,20.002851469330224,28.02347286808871,6.833184683260302,-6.640394016129905,0.798900008264522,10
FactorizePhys,ORIGINAL,1,0.17578125,0.11117382399029457,0.3930588241698849,0.3125881775459044,0.21748135874067936,0.14783712965107135,6.252469970415277,0.38561476897758273,10
