Method,Watermark_Status,Subject_ID,MAE_Mean,MAE_Std,RMSE_Mean,RMSE_Std,MAPE_Mean,MAPE_Std,SNR_Mean,SNR_Std,N_Trials
CHROM,WATERMARKED,10,9.08203125,3.711098115356392,12.84977770067588,9.190805934820293,10.771374390587377,4.2270128601804675,-4.801366207436093,0.5897911733946759,6
CHROM,WATERMARKED,2,12.451171875,5.380850513264028,18.131546942755698,13.7591912120326,17.446825314311152,7.531852835926499,-4.788257993397215,0.45028151197567157,6
CHROM,WATERMARKED,3,33.6181640625,5.5700190013376485,36.281284775828176,19.957034209665196,60.28530087585205,9.686415487942659,-5.837071606035264,0.36866703800009587,6
CHROM,WATERMARKED,4,4.98046875,2.237585788552656,7.405795699080784,5.719762382055749,7.362540267769025,3.342843933428913,-3.091143541437186,0.642855038156561,6
CHROM,WATERMARKED,5,28.271484375,3.9491962918964556,29.88065824036414,15.053214468006393,57.570156787488905,8.49230217237063,-6.91743603484687,0.3094473294086777,6
CHROM,WATERMARKED,6,18.896484375,3.074916038297326,20.108522197006664,10.633015614684451,28.118754238690457,4.661801589946354,-5.3787048256439745,0.11809355625913527,5
CHROM,WATERMARKED,7,38.5986328125,1.5237778503526498,38.77867775746813,10.764814524999032,29.731510077981834,1.1448105040778358,-11.835425505874712,0.6669796821222325,6
CHROM,WATERMARKED,8,45.0439453125,6.445104422244946,47.7304225352902,26.022792260084703,87.13049032342417,12.99545905502529,-6.304712535785183,0.3944316305951141,6
CHROM,WATERMARKED,9,50.3173828125,5.892014195481427,52.346289274199734,23.885179518302767,105.10122921680829,13.008698992154853,-5.655584185295847,0.3790822386877299,6
GREEN,ORIGINAL,1,0.3662109375,0.2623801911646079,0.7397098343526912,0.6820039454540885,0.49794553938296543,0.3595051960105259,-0.7451995486072743,1.3920146810232705,6
GREEN,ORIGINAL,10,6.4453125,5.883738410700027,15.787726857782202,15.084269831559302,6.32183908045977,5.771023115475887,-1.1341226890250466,1.5773173225490942,6
GREEN,ORIGINAL,2,2.490234375,1.8344694720868362,5.137405639672905,4.779911561414707,3.4784887430498586,2.6254538327608383,-1.674193210365785,1.138216709197643,6
GREEN,ORIGINAL,3,6.0791015625,2.2273734774122724,8.168392219676267,5.576440591964327,10.819082310224042,3.9589531071108444,-1.2072291861564466,1.381028383188578,6
GREEN,ORIGINAL,4,4.3212890625,2.923118856936222,8.363090473762608,7.6663914829813455,6.156778950896598,4.101163802850852,-1.277707400846911,1.9013608551984518,6
GREEN,ORIGINAL,5,7.5439453125,2.934109212032426,10.419457379671554,6.955471941440015,15.152912305816116,5.9377984311290515,-1.4181733531160472,1.2810998604462756,6
GREEN,ORIGINAL,6,11.6015625,5.362912803713517,16.685335511837277,12.215895482176663,16.681896831692658,7.651459408517975,-2.5284150736022655,2.0036313004370156,5
GREEN,ORIGINAL,7,72.802734375,13.187119754172581,79.64696414140428,34.30714356476258,55.66286351108939,10.083385105087139,-13.451875229034092,2.3566062322169876,6
GREEN,ORIGINAL,8,0.29296875,0.1691455866766482,0.5074367600299445,0.3855685584821755,0.5275839149219009,0.3057458436678431,2.6232039791329114,1.3829467033844043,6
GREEN,ORIGINAL,9,3.2958984375,1.9426446108215105,5.788450139202901,4.769667273300357,6.505364215170201,3.8870149701768155,2.039814186127489,1.7389829990627557,6
GREEN,WATERMARKED,1,23.14453125,7.390326657231461,29.383173677901816,20.373467905614422,32.795912804164146,10.400853268407824,-6.725369694934105,0.3240564447906129,6
GREEN,WATERMARKED,10,13.623046875,5.781031424024742,19.64966544528981,15.481101214635817,16.63792815227475,7.501053763084593,-5.990649638631719,0.35334910422476773,6
GREEN,WATERMARKED,2,20.947265625,5.578599925619954,25.010249897693313,15.499454353379116,29.326277568927452,7.963744223278079,-6.081291943184301,0.3052945429558241,6
GREEN,WATERMARKED,3,42.041015625,10.517163281773437,49.30630117697326,32.493185056246865,76.0819140395912,19.230408888735806,-6.691557623082313,0.2132749986431936,6
GREEN,WATERMARKED,4,21.0205078125,6.4072612801628575,26.23317997058341,19.17373560797525,31.14926401478381,9.22012244395903,-6.28864835919141,0.252770321913127,6
GREEN,WATERMARKED,5,46.435546875,13.485184275011976,56.98562260049901,41.08299741450242,95.45198281586666,28.244073313194477,-7.777455718409045,0.39562589608405435,6
GREEN,WATERMARKED,6,27.685546875,7.643958365094926,32.53674850387398,24.29541549638771,42.130737368136806,12.228557380160977,-6.408868297693415,0.3245761747737425,5
GREEN,WATERMARKED,7,29.8828125,4.19850897889644,31.602964240485424,15.806044434282501,23.023011517699672,3.2418941502247605,-10.323742184908143,0.6172694678052819,6
GREEN,WATERMARKED,8,50.4638671875,7.707094574101151,53.87947412663264,28.13992281748043,96.79457795108733,14.73545679188419,-6.769477713610513,0.268338696138491,6
GREEN,WATERMARKED,9,55.0048828125,4.869825257646166,56.28346401437023,22.806807208460175,114.89860293253624,11.755399322447158,-7.212719984012973,0.22805660610806394,6
DeepPhys,ORIGINAL,1,0.0,0.0,0.0,0.0,0.0,0.0,5.086099144980141,0.7870770104627172,6
DeepPhys,ORIGINAL,10,0.439453125,0.27404717188285704,0.8023279650954582,0.6791282498773978,0.5140485312899106,0.33730793510770085,2.3369224513453797,1.6314988843103257,6
DeepPhys,ORIGINAL,2,2.4169921875,1.5971163931169332,4.5985362751002725,4.0758543206319775,3.4303574167817152,2.2812702296330776,1.7343330088797508,1.9955680979083918,6
DeepPhys,ORIGINAL,3,0.6591796875,0.46032001061925787,1.306095300302271,1.1920119431676965,1.161986161986162,0.8064382962791603,4.6738533001699425,1.8784950131072382,6
DeepPhys,ORIGINAL,4,4.541015625,3.987048878756904,10.770337760538164,10.283589667743005,6.417937545388526,5.594553919814421,-6.690791697485284e-05,1.6216640701284013,6
DeepPhys,ORIGINAL,5,1.025390625,0.9360492926113679,2.511683818283532,2.3997702004753436,2.0833333333333335,1.9018144357818267,0.3171583627395686,1.4715139551291245,6
DeepPhys,ORIGINAL,6,6.6796875,5.490737745400843,13.977096624174274,13.190954965185107,9.189578239458445,7.520503644511376,1.2209780775886734,2.279248755907343,5
DeepPhys,ORIGINAL,7,40.72265625,16.594057069512722,57.53704121879343,37.142050810205426,31.386775723240266,12.854022923794842,-5.758229063746577,2.6113435552530655,6
DeepPhys,ORIGINAL,8,0.3662109375,0.33430331878977426,0.8970299351012615,0.8570607858840512,0.7374631268436578,0.673208649834275,4.6519434250953795,1.1637185841481734,6
DeepPhys,ORIGINAL,9,1.0986328125,0.7871405734938237,2.2191295030580735,2.0460118363622657,2.3105674481821272,1.6583088647044304,4.270299689331968,1.787445970770989,6
DeepPhys,WATERMARKED,1,10.986328125,2.1997056764181457,12.236487896752209,7.088516078195151,15.509026178125344,3.1901856132712108,-6.177138339468242,0.5726683159308932,6
DeepPhys,WATERMARKED,10,22.4853515625,2.6006993416939705,23.370341402823918,10.900113265400945,27.913714621086708,3.039527948516125,-7.650855650117048,0.590642663089918,6
DeepPhys,WATERMARKED,2,14.35546875,3.1683772302349498,16.31904312975042,9.385162307968546,19.781440395905335,4.497976890658501,-6.877752900588838,0.48695835876405597,6
DeepPhys,WATERMARKED,3,18.8232421875,3.087341375561924,20.285573865799787,12.353548682090528,34.22770921663638,6.115873274140611,-5.173022978602363,0.37118728881440854,6
DeepPhys,WATERMARKED,4,10.3271484375,2.278173488524774,11.738417334251732,6.363915566345856,15.507054751289553,3.478975017220427,-6.064384525247964,0.31217456648576214,6
DeepPhys,WATERMARKED,5,20.2880859375,4.2283225070472445,22.778909068456265,13.076491549649916,40.91899731645648,8.398042781959393,-5.166989819952092,0.31547373749476915,6
DeepPhys,WATERMARKED,6,14.0625,3.444594950788844,16.033716915456626,9.792356987129793,20.772125355407443,5.123547964039157,-6.354378644083106,0.3083092630889245,5
DeepPhys,WATERMARKED,7,67.3095703125,2.009605112144322,67.48932754068544,16.224545354958227,51.631190662590846,1.8096147975245942,-12.933473624043524,0.5720141094618993,6
DeepPhys,WATERMARKED,8,10.546875,5.127999335219032,16.401671724481808,12.992569209916441,21.680473785415113,10.917568166683438,-4.6716795379829765,0.3916862017491735,6
DeepPhys,WATERMARKED,9,17.2119140625,2.810852840011712,18.537943462641607,9.714002116646354,35.70530114030316,5.976724130649486,-5.188224283491889,0.17352399073366806,6
TSCAN,ORIGINAL,1,0.0,0.0,0.0,0.0,0.0,0.0,4.553163949748037,0.7916585197118662,6
TSCAN,ORIGINAL,10,0.439453125,0.27404717188285704,0.8023279650954582,0.6791282498773978,0.5140485312899106,0.33730793510770085,3.0281947800212117,1.3591885498356313,6
TSCAN,ORIGINAL,2,1.3916015625,1.270352611401142,3.4087137533847938,3.256830986359395,1.9916142557651992,1.818086756219105,1.8996102414663927,1.582451315453739,6
TSCAN,ORIGINAL,3,0.6591796875,0.46032001061925787,1.306095300302271,1.1920119431676965,1.161986161986162,0.8064382962791603,5.299989531377235,1.107008342734783,6
TSCAN,ORIGINAL,4,0.2197265625,0.13702358594142852,0.4011639825477291,0.3395641249386989,0.3479786976519002,0.2246685329644339,1.3576957835273227,1.2650715167647766,6
TSCAN,ORIGINAL,5,0.439453125,0.17940598702025232,0.6214805694022391,0.3970907242426076,0.864654267558079,0.35303501198654197,0.1510956216784433,1.159348165895337,6
TSCAN,ORIGINAL,6,0.52734375,0.3810846689416195,1.0021073072160391,0.9250254754305589,0.765643218033424,0.5599170277563477,2.115877058597094,1.837860033079022,5
TSCAN,ORIGINAL,7,25.7080078125,12.941191934318791,40.813580555653616,30.93571344696555,19.45601794723438,9.752303684598802,-3.3623625234846615,2.020405602127367,6
TSCAN,ORIGINAL,8,0.29296875,0.2674426550318194,0.7176239480810092,0.6856486287072411,0.5649717514124294,0.5157462876696479,5.742350846394626,0.8157148705755772,6
TSCAN,ORIGINAL,9,0.146484375,0.1337213275159097,0.3588119740405046,0.34282431435362054,0.32679738562091504,0.298323833063816,4.138697405493095,1.37659114220518,6
TSCAN,WATERMARKED,1,14.794921875,4.33760327482814,18.214788670367614,12.10602913492118,20.621093089217432,5.832747487692411,-7.409983947542933,0.665414661939305,6
TSCAN,WATERMARKED,10,20.5078125,5.558369506687728,24.615913612385224,15.932123548193267,24.392833366119177,5.687917921854414,-7.302805556881883,0.4633335942455329,6
TSCAN,WATERMARKED,2,19.04296875,1.6168672548631298,19.45045544794693,7.657348398456134,26.11508625887737,2.1470075391463412,-7.244489252053918,0.31305506766984714,6
TSCAN,WATERMARKED,3,8.2763671875,1.7529738906770018,9.32393471613236,6.077964702193399,14.833905477360204,3.1408713558063615,-5.449968733213757,0.3118018695970553,6
TSCAN,WATERMARKED,4,9.375,2.86051142888219,11.704092395764558,8.909473872089427,13.876367951346372,4.192944363719898,-5.668715901420093,0.4539373252255658,6
TSCAN,WATERMARKED,5,15.966796875,3.0668571772348057,17.6457439662047,10.425805644680638,32.13363777111508,5.996205560845558,-5.224868872114416,0.22648195563247284,6
TSCAN,WATERMARKED,6,8.349609375,4.1373992446663435,12.462196406088134,10.997650553504506,12.769965875816803,6.610277818105377,-5.978680330506185,0.423633185988956,5
TSCAN,WATERMARKED,7,57.71484375,4.754164626811753,58.87797276469259,23.226396642916736,44.28478449841143,3.7370167590706207,-12.214736192122352,0.3464771337401411,6
TSCAN,WATERMARKED,8,16.259765625,6.6991582484057375,23.100915687544234,18.477906877714283,31.598749000186107,12.800834799870062,-5.412000451324943,0.44769345643578073,6
TSCAN,WATERMARKED,9,12.5244140625,4.744092731383276,17.08506490103943,13.665089008496045,25.696092719937525,9.645444167684513,-5.093050859273771,0.293385346422658,6
FactorizePhys,ORIGINAL,1,0.0,0.0,0.0,0.0,0.0,0.0,6.1693219179136465,0.7006761670665828,6
FactorizePhys,ORIGINAL,10,1.611328125,1.3170023397715995,3.606015710475929,3.4248957068596457,1.7788724685276407,1.4243692832395192,4.747330210209874,1.332833022990847,6
FactorizePhys,ORIGINAL,2,0.0,0.0,0.0,0.0,0.0,0.0,3.4555189579622905,0.9674082239153661,6
